INFO:root:Ingest Issues at [2015-10-26T16:54:19.570152+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:54:50.446501+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:55:21.118162+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:55:51.901510+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:56:22.689389+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:56:53.486925+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:57:24.352479+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:57:54.970977+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:58:28.527970+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:58:59.123186+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:59:30.399009+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:00:01.143345+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:00:31.983798+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:01:02.943412+08:00], issue no[151026066]
INFO:root:Ingest Issues at [2015-10-26T17:01:33.891373+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:02:04.643752+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:02:35.648163+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:03:06.605437+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:03:37.505225+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:04:08.345554+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:04:39.112974+08:00], not updated yet!
INFO:root:Start Ingesting 2015-10-26T17:05:12.902488+08:00
INFO:root:Ingest Issues at [2015-10-26T17:05:12.904659+08:00], issue no[151026066]
INFO:root:Ingest Issues at [2015-10-26T17:05:43.888367+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:06:14.531530+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:06:45.495302+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:07:17.302416+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:07:48.159539+08:00], not updated yet!
INFO:root:Start Ingesting 2015-10-26T17:08:58.098523+08:00
INFO:root:Ingest Issues at [2015-10-26T17:08:58.100483+08:00], issue no[151026066]
INFO:root:Ingest Issues at [2015-10-26T17:09:28.842554+08:00], not updated yet!
INFO:root:Start Ingesting 2015-10-26T17:10:17.689808+08:00
INFO:root:Ingest Issues at [2015-10-26T17:10:17.691950+08:00], issue no[151026066]
INFO:root:Start Ingesting 2015-10-26T17:11:06.593714+08:00
INFO:root:Ingest Issues at [2015-10-26T17:11:06.595852+08:00], issue no[151026067]
INFO:root:Start Ingesting 2015-10-26T17:12:31.884968+08:00
INFO:root:Ingest Issues at [2015-10-26T17:12:31.887178+08:00], issue no[151026067]
INFO:root:Ingest Issues at [2015-10-26T17:13:04.988403+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:13:35.927489+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:14:06.595155+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:14:37.532995+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:15:10.901106+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:15:41.656689+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:16:12.432668+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:16:42.985365+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:17:15.545621+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:17:46.332268+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:18:17.057333+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:18:48.006752+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T17:19:18.899777+08:00], not updated yet!
